Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,specimen_ID,subsample_ID
5/3/22 16:50,1.65E+12,83382,5/3/22,16:50:59,FO,1,0,5,0,-,-,-,-,0.84,-,-,-,-,-,-,0,5,-,NA,NA
5/3/22 17:06,1.65E+12,1016747,5/3/22,17:06:32,FO,2,185,582,0,-,0.682,0,-,0.84,-,-,-,-,-,-,185,582,0.682,20220503-AQUE-001,20220503-AQUE-001-A
5/3/22 17:06,1.65E+12,1023123,5/3/22,17:06:39,FO,3,245,725,0,-,0.662,0,-,0.84,-,-,-,-,-,-,245,725,0.662,20220503-AQUE-001,20220503-AQUE-001-A
5/3/22 17:06,1.65E+12,1030976,5/3/22,17:06:46,FO,4,246,690,0,-,0.643,0,-,0.84,-,-,-,-,-,-,246,690,0.643,20220503-AQUE-001,20220503-AQUE-001-A
5/3/22 17:06,1.65E+12,1039546,5/3/22,17:06:55,FO,5,182,511,0,-,0.644,0,-,0.84,-,-,-,-,-,-,182,511,0.644,20220503-AQUE-001,20220503-AQUE-001-A
5/3/22 17:07,1.65E+12,1049385,5/3/22,17:07:05,FO,6,232,617,0,-,0.624,0,-,0.84,-,-,-,-,-,-,232,617,0.624,20220503-AQUE-001,20220503-AQUE-001-A
5/3/22 17:07,1.65E+12,1056453,5/3/22,17:07:12,FO,7,203,646,0,-,0.686,0,-,0.84,-,-,-,-,-,-,203,646,0.686,20220503-AQUE-001,20220503-AQUE-001-A
5/3/22 17:07,1.65E+12,1064017,5/3/22,17:07:19,FO,8,162,569,0,-,0.715,0,-,0.84,-,-,-,-,-,-,162,569,0.715,20220503-AQUE-001,20220503-AQUE-001-A
5/3/22 17:07,1.65E+12,1078806,5/3/22,17:07:34,FO,9,174,598,0,-,0.709,0,-,0.84,-,-,-,-,-,-,174,598,0.709,20220503-AQUE-001,20220503-AQUE-001-A
5/3/22 17:07,1.65E+12,1087406,5/3/22,17:07:43,FO,10,215,593,0,-,0.637,0,-,0.84,-,-,-,-,-,-,215,593,0.637,20220503-AQUE-001,20220503-AQUE-001-A
5/3/22 17:07,1.65E+12,1100565,5/3/22,17:07:56,FO,11,209,554,0,-,0.623,0,-,0.84,-,-,-,-,-,-,209,554,0.623,20220503-AQUE-001,20220503-AQUE-001-A
5/3/22 17:09,1.65E+12,1174898,5/3/22,17:09:10,FO,12,1,9,0,-,-,-,-,0.84,-,-,-,-,-,-,1,9,-,NA,NA
5/3/22 17:09,1.65E+12,1178605,5/3/22,17:09:14,FO,13,0,6,0,-,-,-,-,0.84,-,-,-,-,-,-,0,6,-,NA,NA
5/3/22 17:09,1.65E+12,1187293,5/3/22,17:09:23,FO,14,191,619,0,-,0.691,0,-,0.84,-,-,-,-,-,-,191,619,0.691,20220503-AQUE-001,20220503-AQUE-001-B
5/3/22 17:09,1.65E+12,1193985,5/3/22,17:09:29,FO,15,126,520,0,-,0.758,0,-,0.84,-,-,-,-,-,-,126,520,0.758,20220503-AQUE-001,20220503-AQUE-001-B
5/3/22 17:09,1.65E+12,1201130,5/3/22,17:09:37,FO,16,144,517,0,-,0.721,0,-,0.84,-,-,-,-,-,-,144,517,0.721,20220503-AQUE-001,20220503-AQUE-001-B
5/3/22 17:09,1.65E+12,1208088,5/3/22,17:09:43,FO,17,109,443,0,-,0.754,0,-,0.84,-,-,-,-,-,-,109,443,0.754,20220503-AQUE-001,20220503-AQUE-001-B
5/3/22 17:09,1.65E+12,1214676,5/3/22,17:09:50,FO,18,125,526,0,-,0.762,0,-,0.84,-,-,-,-,-,-,125,526,0.762,20220503-AQUE-001,20220503-AQUE-001-B
5/3/22 17:09,1.65E+12,1220608,5/3/22,17:09:56,FO,19,13,22,0,-,-,-,-,0.84,-,-,-,-,-,-,13,22,0.409,20220503-AQUE-001,20220503-AQUE-001-B
5/3/22 17:10,1.65E+12,1226898,5/3/22,17:10:02,FO,20,132,632,0,-,0.791,0,-,0.84,-,-,-,-,-,-,132,632,0.791,20220503-AQUE-001,20220503-AQUE-001-B
5/3/22 17:10,1.65E+12,1237219,5/3/22,17:10:13,FO,21,160,608,0,-,0.737,0,-,0.84,-,-,-,-,-,-,160,608,0.737,20220503-AQUE-001,20220503-AQUE-001-B
5/3/22 17:10,1.65E+12,1245147,5/3/22,17:10:21,FO,22,141,590,0,-,0.761,0,-,0.84,-,-,-,-,-,-,141,590,0.761,20220503-AQUE-001,20220503-AQUE-001-B
5/3/22 17:10,1.65E+12,1251950,5/3/22,17:10:27,FO,23,121,497,0,-,0.757,0,-,0.84,-,-,-,-,-,-,121,497,0.757,20220503-AQUE-001,20220503-AQUE-001-B
5/3/22 17:10,1.65E+12,1260531,5/3/22,17:10:36,FO,24,189,639,0,-,0.704,0,-,0.84,-,-,-,-,-,-,189,639,0.704,20220503-AQUE-001,20220503-AQUE-001-B
