Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,1:AHum,1:Oxyg.,1:X1,1:X2,specimen_ID,subsample_ID
07/21/2022 15:20:44,1.65844E+12,118463,7/21/22,15:20:44,FO,1,377,638,0,-,0.409,0,-,0.84,-,-,-,-,-,-,377,638,0.409,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-A
07/21/2022 15:20:52,1.65844E+12,126733,7/21/22,15:20:52,FO,2,413,728,0,-,0.433,0,-,0.84,-,-,-,-,-,-,413,728,0.433,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-A
07/21/2022 15:21:05,1.65844E+12,139419,7/21/22,15:21:05,FO,3,356,606,0,-,0.413,0,-,0.84,-,-,-,-,-,-,356,606,0.413,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-A
07/21/2022 15:21:13,1.65844E+12,147348,7/21/22,15:21:13,FO,4,373,641,0,-,0.418,0,-,0.84,-,-,-,-,-,-,373,641,0.418,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-A
07/21/2022 15:21:20,1.65844E+12,154019,7/21/22,15:21:19,FO,5,448,751,0,-,0.403,0,-,0.84,-,-,-,-,-,-,448,751,0.403,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-A
07/21/2022 15:21:27,1.65844E+12,161454,7/21/22,15:21:27,FO,6,339,553,0,-,0.387,0,-,0.84,-,-,-,-,-,-,339,553,0.387,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-A
07/21/2022 15:21:37,1.65844E+12,171061,7/21/22,15:21:36,FO,7,386,677,0,-,0.43,0,-,0.84,-,-,-,-,-,-,386,677,0.43,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-A
07/21/2022 15:21:46,1.65844E+12,179940,7/21/22,15:21:45,FO,8,465,854,0,-,0.456,0,-,0.84,-,-,-,-,-,-,465,854,0.456,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-A
07/21/2022 15:21:52,1.65844E+12,186348,7/21/22,15:21:52,FO,9,479,805,0,-,0.405,0,-,0.84,-,-,-,-,-,-,479,805,0.405,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-A
07/21/2022 15:22:05,1.65844E+12,199556,7/21/22,15:22:05,FO,10,446,822,0,-,0.457,0,-,0.84,-,-,-,-,-,-,446,822,0.457,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-A
07/21/2022 15:22:12,1.65844E+12,206636,7/21/22,15:22:12,FO,11,37,39,0,-,-,-,-,0.84,-,-,-,-,-,-,37,39,0.051,-,-,-,-,NA,NA
07/21/2022 15:22:16,1.65844E+12,210233,7/21/22,15:22:15,FO,12,34,39,0,-,-,-,-,0.84,-,-,-,-,-,-,34,39,0.128,-,-,-,-,NA,NA
07/21/2022 15:24:33,1.65844E+12,347785,7/21/22,15:24:33,FO,13,325,633,0,-,0.487,0,-,0.84,-,-,-,-,-,-,325,633,0.487,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-B
07/21/2022 15:24:41,1.65844E+12,355236,7/21/22,15:24:40,FO,14,399,820,0,-,0.513,0,-,0.84,-,-,-,-,-,-,399,820,0.513,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-B
07/21/2022 15:24:49,1.65844E+12,363648,7/21/22,15:24:49,FO,15,852,921,0,-,0.075,0,-,0.84,-,-,-,-,-,-,852,921,0.075,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-B
07/21/2022 15:24:57,1.65844E+12,371169,7/21/22,15:24:56,FO,16,396,762,0,-,0.48,0,-,0.84,-,-,-,-,-,-,396,762,0.48,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-B
07/21/2022 15:25:06,1.65844E+12,380705,7/21/22,15:25:06,FO,17,389,691,0,-,0.437,0,-,0.84,-,-,-,-,-,-,389,691,0.437,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-B
07/21/2022 15:25:19,1.65844E+12,393169,7/21/22,15:25:18,FO,18,375,742,0,-,0.495,0,-,0.84,-,-,-,-,-,-,375,742,0.495,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-B
07/21/2022 15:25:26,1.65844E+12,400391,7/21/22,15:25:26,FO,19,340,658,0,-,0.483,0,-,0.84,-,-,-,-,-,-,340,658,0.483,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-B
07/21/2022 15:25:32,1.65844E+12,406795,7/21/22,15:25:32,FO,20,410,806,0,-,0.491,0,-,0.84,-,-,-,-,-,-,410,806,0.491,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-B
07/21/2022 15:25:39,1.65844E+12,413550,7/21/22,15:25:39,FO,21,351,603,0,-,0.418,0,-,0.84,-,-,-,-,-,-,351,603,0.418,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-B
07/21/2022 15:25:55,1.65844E+12,428835,7/21/22,15:25:54,FO,22,358,672,0,-,0.467,0,-,0.84,-,-,-,-,-,-,358,672,0.467,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-B
07/21/2022 15:26:06,1.65844E+12,440760,7/21/22,15:26:06,FO,23,447,923,0,-,0.516,0,-,0.84,-,-,-,-,-,-,447,923,0.516,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-B
07/21/2022 15:26:15,1.65844E+12,448978,7/21/22,15:26:14,FO,24,384,826,0,-,0.535,0,-,0.84,-,-,-,-,-,-,384,826,0.535,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-B
07/21/2022 15:26:22,1.65844E+12,456578,7/21/22,15:26:22,FO,25,39,41,0,-,-,-,-,0.84,-,-,-,-,-,-,39,41,0.049,-,-,-,-,NA,NA
07/21/2022 15:26:26,1.65844E+12,460466,7/21/22,15:26:26,FO,26,37,42,0,-,-,-,-,0.84,-,-,-,-,-,-,37,42,0.119,-,-,-,-,NA,NA
07/21/2022 15:28:04,1.65844E+12,558218,7/21/22,15:28:03,FO,27,392,705,0,-,0.444,0,-,0.84,-,-,-,-,-,-,392,705,0.444,-,-,-,-,20220721-NAPL-001,20220721-NAPL-001-C
