Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo',1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,1:AHum,1:Oxyg.,1:X1,1:X2,specimen_ID,subsample_ID
8/24/22 15:57,1.66E+12,886292,8/24/22,15:57:22,FO,31,504,792,0,-,0.364,0,-,-,-,-,-,-,-,504,792,0.364,-,-,-,-,20220824-CARP-002,20220824-CARP-002-A
8/24/22 15:57,1.66E+12,900209,8/24/22,15:57:35,FO,32,551,863,0,-,0.362,0,-,-,-,-,-,-,-,551,863,0.362,-,-,-,-,20220824-CARP-002,20220824-CARP-002-A
8/24/22 15:57,1.66E+12,914005,8/24/22,15:57:49,FO,33,464,739,0,-,0.372,0,-,-,-,-,-,-,-,464,739,0.372,-,-,-,-,20220824-CARP-002,20220824-CARP-002-A
8/24/22 15:58,1.66E+12,930970,8/24/22,15:58:06,FO,34,532,852,0,-,0.376,0,-,-,-,-,-,-,-,532,852,0.376,-,-,-,-,20220824-CARP-002,20220824-CARP-002-A
8/24/22 15:58,1.66E+12,944510,8/24/22,15:58:20,FO,35,491,807,0,-,0.392,0,-,-,-,-,-,-,-,491,807,0.392,-,-,-,-,20220824-CARP-002,20220824-CARP-002-A
8/24/22 15:58,1.66E+12,966297,8/24/22,15:58:42,FO,36,466,713,0,-,0.346,0,-,-,-,-,-,-,-,466,713,0.346,-,-,-,-,20220824-CARP-002,20220824-CARP-002-A
8/24/22 15:58,1.66E+12,972063,8/24/22,15:58:47,FO,37,2,6,0,-,-,-,-,-,-,-,-,-,-,2,6,-,-,-,-,-,NA,NA
8/24/22 15:58,1.66E+12,975718,8/24/22,15:58:51,FO,38,5,9,0,-,-,-,-,-,-,-,-,-,-,5,9,-,-,-,-,-,NA,NA
8/24/22 16:00,1.66E+12,1086894,8/24/22,16:00:42,FO,39,412,654,0,-,0.37,0,-,-,-,-,-,-,-,412,654,0.37,-,-,-,-,20220824-CARP-002,20220824-CARP-002-B
8/24/22 16:00,1.66E+12,1103351,8/24/22,16:00:59,FO,40,458,714,0,-,0.359,0,-,-,-,-,-,-,-,458,714,0.359,-,-,-,-,20220824-CARP-002,20220824-CARP-002-B
8/24/22 16:01,1.66E+12,1136471,8/24/22,16:01:32,FO,41,500,808,0,-,0.381,0,-,-,-,-,-,-,-,500,808,0.381,-,-,-,-,20220824-CARP-002,20220824-CARP-002-B
8/24/22 16:01,1.66E+12,1159534,8/24/22,16:01:55,FO,42,453,738,0,-,0.386,0,-,-,-,-,-,-,-,453,738,0.386,-,-,-,-,20220824-CARP-002,20220824-CARP-002-B
8/24/22 16:02,1.66E+12,1180676,8/24/22,16:02:16,FO,43,383,605,0,-,0.367,0,-,-,-,-,-,-,-,383,605,0.367,-,-,-,-,20220824-CARP-002,20220824-CARP-002-B
8/24/22 16:02,1.66E+12,1196777,8/24/22,16:02:32,FO,44,530,813,0,-,0.348,0,-,-,-,-,-,-,-,530,813,0.348,-,-,-,-,20220824-CARP-002,20220824-CARP-002-B
8/24/22 16:02,1.66E+12,1204692,8/24/22,16:02:40,FO,45,490,765,0,-,0.359,0,-,-,-,-,-,-,-,490,765,0.359,-,-,-,-,20220824-CARP-002,20220824-CARP-002-B
8/24/22 16:02,1.66E+12,1217262,8/24/22,16:02:52,FO,46,369,591,0,-,0.376,0,-,-,-,-,-,-,-,369,591,0.376,-,-,-,-,20220824-CARP-002,20220824-CARP-002-B
8/24/22 16:03,1.66E+12,1229161,8/24/22,16:03:04,FO,47,522,810,0,-,0.356,0,-,-,-,-,-,-,-,522,810,0.356,-,-,-,-,20220824-CARP-002,20220824-CARP-002-B
