Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,1:AHum,1:Oxyg.,1:X1,1:X2,specimen_ID,subsample_ID
7/19/22 19:24,1.65828E+12,119394,7/19/22,19:24:59,FO,1,149,257,0,-,0.42,0,-,0.84,-,-,-,-,-,-,149,257,0.42,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-A
7/19/22 19:25,1.65828E+12,125530,7/19/22,19:25:05,FO,2,153,267,0,-,0.427,0,-,0.84,-,-,-,-,-,-,153,267,0.427,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-A
7/19/22 19:25,1.65828E+12,131836,7/19/22,19:25:11,FO,3,206,348,0,-,0.408,0,-,0.84,-,-,-,-,-,-,206,348,0.408,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-A
7/19/22 19:25,1.65828E+12,138007,7/19/22,19:25:17,FO,4,172,296,0,-,0.419,0,-,0.84,-,-,-,-,-,-,172,296,0.419,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-A
7/19/22 19:25,1.65828E+12,144786,7/19/22,19:25:24,FO,5,155,274,0,-,0.434,0,-,0.84,-,-,-,-,-,-,155,274,0.434,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-A
7/19/22 19:25,1.65828E+12,151748,7/19/22,19:25:31,FO,6,157,268,0,-,0.414,0,-,0.84,-,-,-,-,-,-,157,268,0.414,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-A
7/19/22 19:25,1.65828E+12,155845,7/19/22,19:25:35,FO,7,71,106,0,-,0.33,0,-,0.84,-,-,-,-,-,-,71,106,0.33,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-A
7/19/22 19:25,1.65828E+12,159359,7/19/22,19:25:38,FO,8,106,108,0,-,0.019,0,-,0.84,-,-,-,-,-,-,106,108,0.019,-,-,-,-,NA,NA
7/19/22 19:25,1.65828E+12,178031,7/19/22,19:25:57,FO,9,111,143,0,-,0.224,0,-,0.84,-,-,-,-,-,-,111,143,0.224,-,-,-,-,NA,NA
7/19/22 19:26,1.65828E+12,192689,7/19/22,19:26:12,FO,10,39,41,0,-,-,-,-,0.84,-,-,-,-,-,-,39,41,0.049,-,-,-,-,NA,NA
7/19/22 19:26,1.65828E+12,198242,7/19/22,19:26:17,FO,11,38,42,0,-,-,-,-,0.84,-,-,-,-,-,-,38,42,0.095,-,-,-,-,NA,NA
7/19/22 19:29,1.65828E+12,384220,7/19/22,19:29:23,FO,12,184,278,0,-,0.338,0,-,0.84,-,-,-,-,-,-,184,278,0.338,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-B
7/19/22 19:29,1.65828E+12,392896,7/19/22,19:29:32,FO,13,162,265,0,-,0.389,0,-,0.84,-,-,-,-,-,-,162,265,0.389,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-B
7/19/22 19:29,1.65828E+12,399978,7/19/22,19:29:39,FO,14,172,297,0,-,0.421,0,-,0.84,-,-,-,-,-,-,172,297,0.421,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-B
7/19/22 19:29,1.65828E+12,407838,7/19/22,19:29:47,FO,15,193,342,0,-,0.436,0,-,0.84,-,-,-,-,-,-,193,342,0.436,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-B
7/19/22 19:29,1.65828E+12,414886,7/19/22,19:29:54,FO,16,200,350,0,-,0.429,0,-,0.84,-,-,-,-,-,-,200,350,0.429,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-B
7/19/22 19:30,1.65828E+12,420758,7/19/22,19:30:00,FO,17,185,315,0,-,0.413,0,-,0.84,-,-,-,-,-,-,185,315,0.413,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-B
7/19/22 19:30,1.65828E+12,426727,7/19/22,19:30:06,FO,18,141,258,0,-,0.453,0,-,0.84,-,-,-,-,-,-,141,258,0.453,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-B
7/19/22 19:30,1.65828E+12,438315,7/19/22,19:30:17,FO,19,124,218,0,-,0.431,0,-,0.84,-,-,-,-,-,-,124,218,0.431,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-B
7/19/22 19:30,1.65828E+12,444541,7/19/22,19:30:24,FO,20,190,333,0,-,0.429,0,-,0.84,-,-,-,-,-,-,190,333,0.429,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-B
7/19/22 19:30,1.65828E+12,455362,7/19/22,19:30:34,FO,21,170,284,0,-,0.401,0,-,0.84,-,-,-,-,-,-,170,284,0.401,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-B
7/19/22 19:30,1.65828E+12,460799,7/19/22,19:30:40,FO,22,56,56,0,-,0,0,-,0.84,-,-,-,-,-,-,56,56,0,-,-,-,-,NA,NA
7/19/22 19:30,1.65828E+12,465088,7/19/22,19:30:44,FO,23,48,48,0,-,-,-,-,0.84,-,-,-,-,-,-,48,48,0,-,-,-,-,NA,NA
7/19/22 19:31,1.65828E+12,538486,7/19/22,19:31:58,FO,24,143,264,0,-,0.458,0,-,0.84,-,-,-,-,-,-,143,264,0.458,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-C
7/19/22 19:32,1.65828E+12,543748,7/19/22,19:32:03,FO,25,168,305,0,-,0.449,0,-,0.84,-,-,-,-,-,-,168,305,0.449,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-C
7/19/22 19:32,1.65828E+12,548512,7/19/22,19:32:08,FO,26,186,320,0,-,0.419,0,-,0.84,-,-,-,-,-,-,186,320,0.419,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-C
7/19/22 19:32,1.65828E+12,553496,7/19/22,19:32:13,FO,27,183,311,0,-,0.412,0,-,0.84,-,-,-,-,-,-,183,311,0.412,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-C
7/19/22 19:32,1.65828E+12,558467,7/19/22,19:32:18,FO,28,170,302,0,-,0.437,0,-,0.84,-,-,-,-,-,-,170,302,0.437,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-C
7/19/22 19:32,1.65828E+12,563913,7/19/22,19:32:23,FO,29,203,341,0,-,0.405,0,-,0.84,-,-,-,-,-,-,203,341,0.405,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-C
7/19/22 19:32,1.65828E+12,568765,7/19/22,19:32:28,FO,30,156,282,0,-,0.447,0,-,0.84,-,-,-,-,-,-,156,282,0.447,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-C
7/19/22 19:32,1.65828E+12,573719,7/19/22,19:32:33,FO,31,179,307,0,-,0.417,0,-,0.84,-,-,-,-,-,-,179,307,0.417,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-C
7/19/22 19:32,1.65828E+12,579279,7/19/22,19:32:38,FO,32,167,295,0,-,0.434,0,-,0.84,-,-,-,-,-,-,167,295,0.434,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-C
7/19/22 19:32,1.65828E+12,592025,7/19/22,19:32:51,FO,33,151,266,0,-,0.432,0,-,0.84,-,-,-,-,-,-,151,266,0.432,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-C
7/19/22 19:32,1.65828E+12,596553,7/19/22,19:32:56,FO,34,42,42,0,-,-,-,-,0.84,-,-,-,-,-,-,42,42,0,-,-,-,-,NA,NA
7/19/22 19:33,1.65828E+12,600192,7/19/22,19:32:59,FO,35,45,45,0,-,-,-,-,0.84,-,-,-,-,-,-,45,45,0,-,-,-,-,NA,NA
7/19/22 19:34,1.65828E+12,666064,7/19/22,19:34:05,FO,36,136,249,0,-,0.454,0,-,0.84,-,-,-,-,-,-,136,249,0.454,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-D
7/19/22 19:34,1.65828E+12,671165,7/19/22,19:34:10,FO,37,151,266,0,-,0.432,0,-,0.84,-,-,-,-,-,-,151,266,0.432,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-D
7/19/22 19:34,1.65828E+12,676712,7/19/22,19:34:16,FO,38,155,266,0,-,0.417,0,-,0.84,-,-,-,-,-,-,155,266,0.417,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-D
7/19/22 19:34,1.65828E+12,682836,7/19/22,19:34:22,FO,39,171,301,0,-,0.432,0,-,0.84,-,-,-,-,-,-,171,301,0.432,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-D
7/19/22 19:34,1.65828E+12,691342,7/19/22,19:34:30,FO,40,136,230,0,-,0.409,0,-,0.84,-,-,-,-,-,-,136,230,0.409,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-D
7/19/22 19:34,1.65828E+12,696893,7/19/22,19:34:36,FO,41,146,251,0,-,0.418,0,-,0.84,-,-,-,-,-,-,146,251,0.418,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-D
7/19/22 19:34,1.65828E+12,703533,7/19/22,19:34:43,FO,42,137,245,0,-,0.441,0,-,0.84,-,-,-,-,-,-,137,245,0.441,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-D
7/19/22 19:34,1.65828E+12,709390,7/19/22,19:34:49,FO,43,146,262,0,-,0.443,0,-,0.84,-,-,-,-,-,-,146,262,0.443,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-D
7/19/22 19:34,1.65828E+12,714975,7/19/22,19:34:54,FO,44,124,222,0,-,0.441,0,-,0.84,-,-,-,-,-,-,124,222,0.441,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-D
7/19/22 19:35,1.65828E+12,725780,7/19/22,19:35:05,FO,45,110,198,0,-,0.444,0,-,0.84,-,-,-,-,-,-,110,198,0.444,-,-,-,-,20220719-NAPL-001,20220719-NAPL-001-D
7/19/22 19:35,1.65828E+12,736368,7/19/22,19:35:15,FO,46,41,51,0,-,0.196,0,-,0.84,-,-,-,-,-,-,41,51,0.196,-,-,-,-,NA,NA
7/19/22 19:35,1.65828E+12,740360,7/19/22,19:35:19,FO,47,48,52,0,-,0.077,0,-,0.84,-,-,-,-,-,-,48,52,0.077,-,-,-,-,NA,NA
7/19/22 19:35,1.65828E+12,752763,7/19/22,19:35:32,FO,48,26,31,0,-,-,-,-,0.84,-,-,-,-,-,-,26,31,0.161,-,-,-,-,NA,NA
7/19/22 19:35,1.65828E+12,756309,7/19/22,19:35:35,FO,49,29,33,0,-,-,-,-,0.84,-,-,-,-,-,-,29,33,0.121,-,-,-,-,NA,NA
7/19/22 19:38,1.65828E+12,906814,7/19/22,19:38:06,FO,50,162,330,0,-,0.509,0,-,0.84,-,-,-,-,-,-,162,330,0.509,-,-,-,-,20220719-NAPL-002,20220719-NAPL-002-A
7/19/22 19:38,1.65828E+12,913544,7/19/22,19:38:13,FO,51,156,258,0,-,0.395,0,-,0.84,-,-,-,-,-,-,156,258,0.395,-,-,-,-,20220719-NAPL-002,20220719-NAPL-002-A
7/19/22 19:38,1.65828E+12,921920,7/19/22,19:38:21,FO,52,149,303,0,-,0.508,0,-,0.84,-,-,-,-,-,-,149,303,0.508,-,-,-,-,20220719-NAPL-002,20220719-NAPL-002-A
7/19/22 19:38,1.65828E+12,939403,7/19/22,19:38:39,FO,53,137,276,0,-,0.504,0,-,0.84,-,-,-,-,-,-,137,276,0.504,-,-,-,-,20220719-NAPL-002,20220719-NAPL-002-A
7/19/22 19:38,1.65828E+12,946038,7/19/22,19:38:45,FO,54,33,33,0,-,-,-,-,0.84,-,-,-,-,-,-,33,33,0,-,-,-,-,NA,NA
7/19/22 19:38,1.65828E+12,956356,7/19/22,19:38:55,FO,55,40,40,0,-,-,-,-,0.84,-,-,-,-,-,-,40,40,0,-,-,-,-,NA,NA
7/19/22 19:40,1.65828E+12,1040323,7/19/22,19:40:19,FO,56,63,169,0,-,0.627,0,-,0.84,-,-,-,-,-,-,63,169,0.627,-,-,-,-,20220719-NAPL-002,20220719-NAPL-002-B
7/19/22 19:40,1.65828E+12,1049726,7/19/22,19:40:29,FO,57,38,65,0,-,0.415,0,-,0.84,-,-,-,-,-,-,38,65,0.415,-,-,-,-,20220719-NAPL-002,20220719-NAPL-002-B
7/19/22 19:40,1.65828E+12,1056137,7/19/22,19:40:35,FO,58,100,182,0,-,0.451,0,-,0.84,-,-,-,-,-,-,100,182,0.451,-,-,-,-,20220719-NAPL-002,20220719-NAPL-002-B
7/19/22 19:40,1.65828E+12,1063850,7/19/22,19:40:43,FO,59,146,289,0,-,0.495,0,-,0.84,-,-,-,-,-,-,146,289,0.495,-,-,-,-,20220719-NAPL-002,20220719-NAPL-002-B
7/19/22 19:40,1.65828E+12,1070385,7/19/22,19:40:50,FO,60,148,292,0,-,0.493,0,-,0.84,-,-,-,-,-,-,148,292,0.493,-,-,-,-,20220719-NAPL-002,20220719-NAPL-002-B
