Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo',1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,1:AHum,1:Oxyg.,1:X1,1:X2,specimen_ID,subsample_ID
07/26/2022 18:43:33,1.66E+12,466104,7/26/22,18:43:32,FO,30,196,384,0,-,0.49,0,-,-,-,-,-,-,-,196,384,0.49,-,-,-,-,20220726-BULL-001,20220726-BULL-001-C
07/26/2022 18:43:40,1.66E+12,473188,7/26/22,18:43:40,FO,31,202,403,0,-,0.499,0,-,-,-,-,-,-,-,202,403,0.499,-,-,-,-,20220726-BULL-001,20220726-BULL-001-C
07/26/2022 18:43:48,1.66E+12,481015,7/26/22,18:43:47,FO,32,190,372,0,-,0.489,0,-,-,-,-,-,-,-,190,372,0.489,-,-,-,-,20220726-BULL-001,20220726-BULL-001-C
07/26/2022 18:43:56,1.66E+12,488759,7/26/22,18:43:55,FO,33,176,358,0,-,0.508,0,-,-,-,-,-,-,-,176,358,0.508,-,-,-,-,20220726-BULL-001,20220726-BULL-001-C
07/26/2022 18:44:04,1.66E+12,496708,7/26/22,18:44:03,FO,34,172,346,0,-,0.503,0,-,-,-,-,-,-,-,172,346,0.503,-,-,-,-,20220726-BULL-001,20220726-BULL-001-C
07/26/2022 18:44:12,1.66E+12,505473,7/26/22,18:44:12,FO,35,15,22,0,-,-,-,-,-,-,-,-,-,-,15,22,0.318,-,-,-,-,NA,NA
07/26/2022 18:44:16,1.66E+12,509541,7/26/22,18:44:16,FO,36,21,21,0,-,-,-,-,-,-,-,-,-,-,21,21,0,-,-,-,-,NA,NA
07/26/2022 18:46:18,1.66E+12,631334,7/26/22,18:46:18,FO,37,208,430,0,-,0.516,0,-,-,-,-,-,-,-,208,430,0.516,-,-,-,-,20220726-BULL-001,20220726-BULL-001-D
07/26/2022 18:46:25,1.66E+12,638613,7/26/22,18:46:25,FO,38,214,440,0,-,0.514,0,-,-,-,-,-,-,-,214,440,0.514,-,-,-,-,20220726-BULL-001,20220726-BULL-001-D
07/26/2022 18:46:40,1.66E+12,653505,7/26/22,18:46:40,FO,39,196,390,0,-,0.497,0,-,-,-,-,-,-,-,196,390,0.497,-,-,-,-,20220726-BULL-001,20220726-BULL-001-D
07/26/2022 18:46:47,1.66E+12,660120,7/26/22,18:46:47,FO,40,216,449,0,-,0.519,0,-,-,-,-,-,-,-,216,449,0.519,-,-,-,-,20220726-BULL-001,20220726-BULL-001-D
07/26/2022 18:46:56,1.66E+12,668915,7/26/22,18:46:55,FO,41,204,423,0,-,0.518,0,-,-,-,-,-,-,-,204,423,0.518,-,-,-,-,20220726-BULL-001,20220726-BULL-001-D
07/26/2022 18:47:03,1.66E+12,676545,7/26/22,18:47:03,FO,42,230,452,0,-,0.491,0,-,-,-,-,-,-,-,230,452,0.491,-,-,-,-,20220726-BULL-001,20220726-BULL-001-D
07/26/2022 18:47:10,1.66E+12,683542,7/26/22,18:47:10,FO,43,181,374,0,-,0.516,0,-,-,-,-,-,-,-,181,374,0.516,-,-,-,-,20220726-BULL-001,20220726-BULL-001-D
07/26/2022 18:47:18,1.66E+12,690991,7/26/22,18:47:17,FO,44,165,349,0,-,0.527,0,-,-,-,-,-,-,-,165,349,0.527,-,-,-,-,20220726-BULL-001,20220726-BULL-001-D
07/26/2022 18:47:26,1.66E+12,699414,7/26/22,18:47:26,FO,45,229,437,0,-,0.476,0,-,-,-,-,-,-,-,229,437,0.476,-,-,-,-,20220726-BULL-001,20220726-BULL-001-D
07/26/2022 18:47:33,1.66E+12,706232,7/26/22,18:47:33,FO,46,221,422,0,-,0.476,0,-,-,-,-,-,-,-,221,422,0.476,-,-,-,-,20220726-BULL-001,20220726-BULL-001-D
07/26/2022 18:47:47,1.66E+12,720425,7/26/22,18:47:47,FO,47,10,15,0,-,-,-,-,-,-,-,-,-,-,10,15,0.333,-,-,-,-,NA,NA
07/26/2022 18:47:51,1.66E+12,724412,7/26/22,18:47:51,FO,48,15,15,0,-,-,-,-,-,-,-,-,-,-,15,15,0,-,-,-,-,NA,NA
07/26/2022 18:49:16,1.66E+12,808908,7/26/22,18:49:15,FO,49,185,398,0,-,0.535,0,-,-,-,-,-,-,-,185,398,0.535,-,-,-,-,20220726-BULL-001,20220726-BULL-001-E
07/26/2022 18:49:23,1.66E+12,816253,7/26/22,18:49:23,FO,50,207,444,0,-,0.534,0,-,-,-,-,-,-,-,207,444,0.534,-,-,-,-,20220726-BULL-001,20220726-BULL-001-E
07/26/2022 18:49:32,1.66E+12,824654,7/26/22,18:49:31,FO,51,218,433,0,-,0.497,0,-,-,-,-,-,-,-,218,433,0.497,-,-,-,-,20220726-BULL-001,20220726-BULL-001-E
07/26/2022 18:49:38,1.66E+12,831324,7/26/22,18:49:38,FO,52,200,373,0,-,0.464,0,-,-,-,-,-,-,-,200,373,0.464,-,-,-,-,20220726-BULL-001,20220726-BULL-001-E
07/26/2022 18:49:47,1.66E+12,840058,7/26/22,18:49:46,FO,53,181,389,0,-,0.535,0,-,-,-,-,-,-,-,181,389,0.535,-,-,-,-,20220726-BULL-001,20220726-BULL-001-E
07/26/2022 18:49:54,1.66E+12,847084,7/26/22,18:49:53,FO,54,204,411,0,-,0.504,0,-,-,-,-,-,-,-,204,411,0.504,-,-,-,-,20220726-BULL-001,20220726-BULL-001-E
07/26/2022 18:50:01,1.66E+12,854591,7/26/22,18:50:01,FO,55,194,366,0,-,0.47,0,-,-,-,-,-,-,-,194,366,0.47,-,-,-,-,20220726-BULL-001,20220726-BULL-001-E
07/26/2022 18:50:12,1.66E+12,865451,7/26/22,18:50:12,FO,56,208,423,0,-,0.508,0,-,-,-,-,-,-,-,208,423,0.508,-,-,-,-,20220726-BULL-001,20220726-BULL-001-E
