Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo',1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,1:AHum,1:Oxyg.,1:X1,1:X2,specimen_ID,subsample_ID
6/20/23 14:50,1.69E+12,1401124,6/20/23,14:50:01,FO,30,228,352,0,-,0.352,0,-,-,-,-,-,-,-,228,352,0.352,-,-,-,-,20230620-NAPL-001,20230620-NAPL-001-D
6/20/23 14:50,1.69E+12,1407947,6/20/23,14:50:08,FO,31,21,23,0,-,-,-,-,-,-,-,-,-,-,21,23,0.087,-,-,-,-,NA,NA
6/20/23 14:50,1.69E+12,1411229,6/20/23,14:50:11,FO,32,16,22,0,-,-,-,-,-,-,-,-,-,-,16,22,0.273,-,-,-,-,NA,NA
6/20/23 14:56,1.69E+12,1787097,6/20/23,14:56:27,FO,33,327,547,0,-,0.402,0,-,-,-,-,-,-,-,327,547,0.402,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-A
6/20/23 14:56,1.69E+12,1797192,6/20/23,14:56:37,FO,34,299,460,0,-,0.35,0,-,-,-,-,-,-,-,299,460,0.35,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-A
6/20/23 14:56,1.69E+12,1806890,6/20/23,14:56:47,FO,35,286,415,0,-,0.311,0,-,-,-,-,-,-,-,286,415,0.311,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-A
6/20/23 14:56,1.69E+12,1816544,6/20/23,14:56:57,FO,36,185,322,0,-,0.425,0,-,-,-,-,-,-,-,185,322,0.425,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-A
6/20/23 14:57,1.69E+12,1835419,6/20/23,14:57:16,FO,37,224,356,0,-,0.371,0,-,-,-,-,-,-,-,224,356,0.371,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-A
6/20/23 14:57,1.69E+12,1845926,6/20/23,14:57:26,FO,38,336,551,0,-,0.39,0,-,-,-,-,-,-,-,336,551,0.39,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-A
6/20/23 14:57,1.69E+12,1854631,6/20/23,14:57:35,FO,39,16,18,0,-,-,-,-,-,-,-,-,-,-,16,18,0.111,-,-,-,-,NA,NA
6/20/23 14:57,1.69E+12,1859894,6/20/23,14:57:40,FO,40,19,19,0,-,-,-,-,-,-,-,-,-,-,19,19,0,-,-,-,-,NA,NA
6/20/23 14:58,1.69E+12,1921175,6/20/23,14:58:41,FO,41,195,303,0,-,0.356,0,-,-,-,-,-,-,-,195,303,0.356,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-B
6/20/23 14:58,1.69E+12,1932276,6/20/23,14:58:52,FO,42,265,408,0,-,0.35,0,-,-,-,-,-,-,-,265,408,0.35,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-B
6/20/23 14:59,1.69E+12,1945485,6/20/23,14:59:06,FO,43,88,155,0,-,0.432,0,-,-,-,-,-,-,-,88,155,0.432,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-B
6/20/23 14:59,1.69E+12,1955585,6/20/23,14:59:16,FO,44,208,363,0,-,0.427,0,-,-,-,-,-,-,-,208,363,0.427,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-B
6/20/23 14:59,1.69E+12,1965406,6/20/23,14:59:26,FO,45,285,451,0,-,0.368,0,-,-,-,-,-,-,-,285,451,0.368,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-B
