Datetime,Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,specimen_ID,subsample_ID
4/28/22 16:13,1326728,4/28/22,16:13:47,FO,1,175,703,0,-,0.751,0,-,0.84,-,-,-,-,-,-,175,703,0.751,20220428-AQUE-001,20220428-AQUE-001-A
4/28/22 16:13,1334256,4/28/22,16:13:54,FO,2,201,782,0,-,0.743,0,-,0.84,-,-,-,-,-,-,201,782,0.743,20220428-AQUE-001,20220428-AQUE-001-A
4/28/22 16:14,1340152,4/28/22,16:14:00,FO,3,199,746,0,-,0.733,0,-,0.84,-,-,-,-,-,-,199,746,0.733,20220428-AQUE-001,20220428-AQUE-001-A
4/28/22 16:14,1347592,4/28/22,16:14:07,FO,4,256,877,0,-,0.708,0,-,0.84,-,-,-,-,-,-,256,877,0.708,20220428-AQUE-001,20220428-AQUE-001-A
4/28/22 16:14,1355339,4/28/22,16:14:15,FO,5,214,771,0,-,0.722,0,-,0.84,-,-,-,-,-,-,214,771,0.722,20220428-AQUE-001,20220428-AQUE-001-A
4/28/22 16:14,1362711,4/28/22,16:14:22,FO,6,215,744,0,-,0.711,0,-,0.84,-,-,-,-,-,-,215,744,0.711,20220428-AQUE-001,20220428-AQUE-001-A
4/28/22 16:14,1369701,4/28/22,16:14:29,FO,7,174,584,0,-,0.702,0,-,0.84,-,-,-,-,-,-,174,584,0.702,20220428-AQUE-001,20220428-AQUE-001-A
4/28/22 16:14,1376943,4/28/22,16:14:37,FO,8,195,685,0,-,0.715,0,-,0.84,-,-,-,-,-,-,195,685,0.715,20220428-AQUE-001,20220428-AQUE-001-A
4/28/22 16:14,1383773,4/28/22,16:14:44,FO,9,195,735,0,-,0.735,0,-,0.84,-,-,-,-,-,-,195,735,0.735,20220428-AQUE-001,20220428-AQUE-001-A
4/28/22 16:14,1394492,4/28/22,16:14:54,FO,10,174,696,0,-,0.75,0,-,0.84,-,-,-,-,-,-,174,696,0.75,20220428-AQUE-001,20220428-AQUE-001-A
