sp_code,taxon_phylum,taxon_class,taxon_order,taxon_family,taxon_genus,group,mobility,growth_morph,scientific_name,growth_form,gf_code,pigment_type,height_class,life_habit,longevity,thallus_length,blade_length,exposure_tolerance,photosynthetic_pigment,depth_range,dispersal_mechanism,reproductive_season,reproductive_cycle,spore_diameter_microm,spore_density_gcc,notes,growth_form_source,height_class_source,life_habit_source,longevity_source,thallus_length_source,blade_length_source,exposure_tolerance_source,photosynthetic_pigment_source,depth_range_source,dispersal_mechanism_source,reproductive_season_source,reproductive_cycle_source,spore_diameter_microm_source,spore_density_gcc_source
DU,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyopteris,algae,sessile,solitary,Dictyopteris undulata,corticated_foliose,CF,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
EA,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,algae,sessile,solitary,Eisenia arborea,leathery_macrophyte,LM,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
EC,Rhodophyta,Florideophyceae,Corallinales,-99999,-99999,algae,sessile,aggregated,crustose coralline algae spp.,unc_red,UR,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
EGME,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,algae,sessile,solitary,Egregia menziesii,leathery_macrophyte,LM,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
ER,Rhodophyta,Florideophyceae,Hildenbrandiales,Hildenbrandiaceae,Hildenbrandia,algae,sessile,solitary,Hildenbrandia spp.,unc_red,UR,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
FASP,Rhodophyta,Florideophyceae,Rhodymeniales,Faucheaceae,Gloiocladia,algae,sessile,solitary,Gloiocladia fryeana,corticated_foliose,CF,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
FB,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,-99999,algae,sessile,aggregated,Ectocarpaceae spp.,filamentous_algae,FA,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
FG,Chlorophyta,Ulvophyceae,-99999,-99999,-99999,algae,sessile,solitary,Ulva spp.; Sponogomorpha spp.,foliose,F,green,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
FR,Rhodophyta,-99999,-99999,-99999,-99999,algae,sessile,aggregated,Rhodophyta,unc_red,UR,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
FTHR,Rhodophyta,Florideophyceae,Ceramiales,-99999,-99999,algae,sessile,solitary,Neoptilota spp.; Ptilota spp.; Rhodoptilum spp.,unc_red,UR,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
