specimen_ID,scientific_name,sp_code,maximum_height,total_dry,total_wet,total_dmc,total_volume,mass_to_height,thickness_mm_mean,sav_scaled,frond_area_scaled,sta_scaled,sap_mean,frond_peri_scaled
20210630-MOHK-044,Rhodymenia californica,R,5.5,102,770,0.13246753246753246,1,18.545454545454547,0.344,1916.834,1475962.18,1916.834,3.1368741459582856,470520.05000000005
20210630-MOHK-045,Rhodymenia californica,R,7.8,204,1870,0.10909090909090909,2,26.153846153846153,0.353,3515.1980000000003,6573420.260000001,3515.198,2.4705244034002063,2660738.85
20210630-MOHK-046,Gelidium spp.,GR,11.9,1159,5750,0.20156521739130434,5,97.39495798319328,0.353,11072.729,63668191.75,11072.729,0.8830333740236692,72101682.25
20210709-MOHK-001,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,29.9,1885,14930,0.1262558606831882,8,63.04347826086957,0.518,22650.044,338165156.92,22650.044,16.15993812860432,20926141.81
20210709-MOHK-002,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,19.3,513,3640,0.14093406593406593,3,26.580310880829014,0.531,5540.934,20168999.76,5540.934,11.273173758684884,1789114.5999999999
20210709-MOHK-003,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,30.7,1520,11290,0.13463241806908768,7,49.5114006514658,0.598,16510.057,186398543.53,16510.057,17.477654932365628,10664963.02
20210709-MOHK-009,Corallina officinalis,CO,12.3,7164,16650,0.43027027027027026,15,582.4390243902438,0.46399999999999997,37587.71,625835371.5,37587.71,1.3078693051721955,478515222.45
20210719-IVEE-001,Rhodymenia californica,R,6.9,61,334,0.18263473053892215,1.5,8.840579710144928,0.18,2732.286,608389.016,1984.1600714285714,3.3590039112563415,181121.854
20210719-IVEE-002,Rhodymenia californica,R,8,72,404,0.1782178217821782,0.5,9,0.222,1563.533,631667.3319999999,1815.7157419354837,3.9467708346480546,160046.62
20210719-IVEE-003,Rhodymenia californica,R,8.1,114,672,0.16964285714285715,0.5,14.074074074074074,0.236,2663.313,1789746.3360000001,3066.845272727273,3.3495129879929735,534330.3168
20210719-IVEE-010,Bossiella orbigniana,BO,3.9,30,31,0.967741935483871,1,7.6923076923076925,0.354,89.726,2781.506,89.726,0.5259961426402396,5288.073
20210719-IVEE-012,Cryptopleura ruprechtiana,BF,17.5,530,4940,0.10728744939271255,5,30.285714285714285,0.158,19425.572,95962325.68,19425.572,6.485674110298554,14796044.952
20210719-IVEE-013,Cryptopleura ruprechtiana,BF,27.5,1770,13360,0.13248502994011976,12.5,64.36363636363636,0.198,39725.87699999999,530737716.7199999,39725.87699999999,4.315604645067631,122981079.21600002
20210719-IVEE-014,Cryptopleura ruprechtiana,BF,32,1460,9910,0.14732593340060546,11,45.625,0.249,29989.688,297197808.08000004,29989.688000000002,3.837483309525078,77446019.724
20210719-IVEE-015,Cryptopleura ruprechtiana,BF,18.6,870,6700,0.12985074626865672,8.5,46.774193548387096,0.215,22765.357,152527891.9,22765.357,4.273844713315405,35688683.64
20210719-IVEE-016,Cryptopleura ruprechtiana,BF,21.7,890,9380,0.09488272921108742,10,41.013824884792626,0.192,38564.002,361730338.76,38564.002,7.21961871563806,50103800.908
20210719-IVEE-017,Cryptopleura ruprechtiana,BF,27.3,1220,10860,0.11233885819521179,10.5,44.688644688644686,0.202,43998.769,477826631.34,43998.769,8.956621502046278,53348981.112
20210719-IVEE-018,Cryptopleura ruprechtiana,BF,28.4,1590,15250,0.10426229508196722,17,55.98591549295775,0.254,46151.454,703809673.5,46151.454,5.331164139628157,132018008.65
20210719-IVEE-019,Cryptopleura ruprechtiana,BF,15.3,160,1560,0.10256410256410256,2,10.457516339869281,0.186,7827.34,12210650.4,7827.34,6.707031065906335,1820574.6
20210719-IVEE-020,Rhodymenia californica,R,5.4,70,269,0.26022304832713755,0.5,12.962962962962962,0.138,1755.585,472252.365,1755.585,1.7598226529482996,268352.248
20210719-IVEE-021,Rhodymenia californica,R,11.9,330,2257,0.14621178555604786,2,27.731092436974787,0.18,8875.217,20031364.769,8875.217,2.6986017419131954,7422868.0942
20210719-IVEE-022,Rhodymenia californica,R,10.2,230,1410,0.16312056737588654,1,22.54901960784314,0.189,6668.3910000000005,9402431.31,6668.3910000000005,3.4804172247377396,2701524.186
20210719-IVEE-023,Rhodymenia californica,R,7.5,330,2300,0.14347826086956522,2,44,0.144,8453.849,19443852.7,8453.849,1.709212545205274,11375912.7
