specimen_ID,scientific_name,sp_code,date_collected,year,site,maximum_height,thickness_mm_mean,frond_area_scaled,height_ww,total_dmc,height_vol,sav_scaled,sta_scaled,sap_mean
20210630-MOHK-042,Rhodymenia californica,R,2021-06-30,2021,Mohawk,6,0.366,2204139.62,0.005660377358490566,0.1311320754716981,6,2079.377,2079.377,3.113664848320588
20210630-MOHK-043,Rhodymenia californica,R,2021-06-30,2021,Mohawk,6.4,0.309,5257911.36,0.004050632911392405,0.10506329113924051,3.2,3327.7920000000004,3327.7920000000004,2.4143722167324713
20210630-MOHK-044,Rhodymenia californica,R,2021-06-30,2021,Mohawk,5.5,0.344,1475962.18,0.007142857142857143,0.13246753246753246,5.5,1916.834,1916.834,3.1368741459582856
20210630-MOHK-045,Rhodymenia californica,R,2021-06-30,2021,Mohawk,7.8,0.353,6573420.260000001,0.004171122994652407,0.10909090909090909,3.9,3515.1980000000003,3515.198,2.4705244034002063
20210709-MOHK-001,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,2021-07-09,2021,Mohawk,29.9,0.518,338165156.92,0.0020026791694574683,0.1262558606831882,3.7375,22650.044,22650.044,16.15993812860432
20210709-MOHK-002,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,2021-07-09,2021,Mohawk,19.3,0.531,20168999.76,0.005302197802197803,0.14093406593406593,6.433333333333334,5540.934,5540.934,11.273173758684884
20210709-MOHK-003,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,2021-07-09,2021,Mohawk,30.7,0.598,186398543.53,0.0027192205491585473,0.13463241806908768,4.385714285714285,16510.057,16510.057,17.477654932365628
20210709-MOHK-009,Corallina officinalis,CO,2021-07-09,2021,Mohawk,12.3,0.46399999999999997,625835371.5,7.387387387387388e-4,0.43027027027027026,0.8200000000000001,37587.71,37587.71,1.3078693051721955
20210719-IVEE-001,Rhodymenia californica,R,2021-07-19,2021,Isla Vista,6.9,0.18,608389.016,0.02065868263473054,0.18263473053892215,4.6000000000000005,2732.286,1984.1600714285714,3.3590039112563415
20210719-IVEE-002,Rhodymenia californica,R,2021-07-19,2021,Isla Vista,8,0.222,631667.3319999999,0.019801980198019802,0.1782178217821782,16,1563.533,1815.7157419354837,3.9467708346480546
20210719-IVEE-003,Rhodymenia californica,R,2021-07-19,2021,Isla Vista,8.1,0.236,1789746.3360000001,0.012053571428571427,0.16964285714285715,16.2,2663.313,3066.845272727273,3.3495129879929735
20210719-IVEE-010,Bossiella orbigniana,BO,2021-07-19,2021,Isla Vista,3.9,0.354,2781.506,0.12580645161290321,0.967741935483871,3.9,89.726,89.726,0.5259961426402396
20210719-IVEE-012,Cryptopleura ruprechtiana,BF,2021-07-19,2021,Isla Vista,17.5,0.158,95962325.68,0.00354251012145749,0.10728744939271255,3.5,19425.572,19425.572,6.485674110298554
20210719-IVEE-013,Cryptopleura ruprechtiana,BF,2021-07-19,2021,Isla Vista,27.5,0.198,530737716.7199999,0.0020583832335329343,0.13248502994011976,2.2,39725.87699999999,39725.87699999999,4.315604645067631
20210719-IVEE-014,Cryptopleura ruprechtiana,BF,2021-07-19,2021,Isla Vista,32,0.249,297197808.08000004,0.003229061553985873,0.14732593340060546,2.909090909090909,29989.688,29989.688000000002,3.837483309525078
20210719-IVEE-015,Cryptopleura ruprechtiana,BF,2021-07-19,2021,Isla Vista,18.6,0.215,152527891.9,0.0027761194029850746,0.12985074626865672,2.1882352941176473,22765.357,22765.357,4.273844713315405
20210719-IVEE-016,Cryptopleura ruprechtiana,BF,2021-07-19,2021,Isla Vista,21.7,0.192,361730338.76,0.0023134328358208954,0.09488272921108742,2.17,38564.002,38564.002,7.21961871563806
20210719-IVEE-017,Cryptopleura ruprechtiana,BF,2021-07-19,2021,Isla Vista,27.3,0.202,477826631.34,0.0025138121546961325,0.11233885819521179,2.6,43998.769,43998.769,8.956621502046278
20210719-IVEE-018,Cryptopleura ruprechtiana,BF,2021-07-19,2021,Isla Vista,28.4,0.254,703809673.5,0.001862295081967213,0.10426229508196722,1.6705882352941175,46151.454,46151.454,5.331164139628157
20210719-IVEE-019,Cryptopleura ruprechtiana,BF,2021-07-19,2021,Isla Vista,15.3,0.186,12210650.4,0.009807692307692309,0.10256410256410256,7.65,7827.34,7827.34,6.707031065906335
20210719-IVEE-020,Rhodymenia californica,R,2021-07-19,2021,Isla Vista,5.4,0.138,472252.365,0.020074349442379184,0.26022304832713755,10.8,1755.585,1755.585,1.7598226529482996
20210719-IVEE-021,Rhodymenia californica,R,2021-07-19,2021,Isla Vista,11.9,0.18,20031364.769,0.005272485600354453,0.14621178555604786,5.95,8875.217,8875.217,2.6986017419131954
20210719-IVEE-022,Rhodymenia californica,R,2021-07-19,2021,Isla Vista,10.2,0.189,9402431.31,0.007234042553191489,0.16312056737588654,10.2,6668.3910000000005,6668.3910000000005,3.4804172247377396
20210719-IVEE-023,Rhodymenia californica,R,2021-07-19,2021,Isla Vista,7.5,0.144,19443852.7,0.003260869565217391,0.14347826086956522,3.75,8453.849,8453.849,1.709212545205274
20210719-IVEE-024,Rhodymenia californica,R,2021-07-19,2021,Isla Vista,8.6,0.201,2580960.53,0.01036144578313253,0.21686746987951808,8.6,3109.591,3109.591,3.1731588920851417
20210721-BULL-001,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,2021-07-21,2021,Bullito,27.2,0.57,1217421773.66,9.93425858290723e-4,0.16910153396639882,0.9714285714285714,44463.907,44463.907,19.92765677174691
20210721-BULL-002,Cryptopleura ruprechtiana,BF,2021-07-21,2021,Bullito,33.5,0.234,4597003296.5,0.001,0.14865671641791045,0.6568627450980392,137223.979,137223.979,7.769069228178659
20210721-BULL-003,Cryptopleura ruprechtiana,BF,2021-07-21,2021,Bullito,23.2,0.223,254472706.49999997,0.0029367088607594937,0.16582278481012658,2.32,32211.735,32211.734999999997,9.383967418615727
20210721-BULL-008,Cryptopleura ruprechtiana,BF,2021-07-21,2021,Bullito,25.5,0.269,1198495748.3999999,0.0014655172413793104,0.1367816091954023,1.4166666666666667,68879.06599999999,68879.06599999999,5.41517314983635
20210721-BULL-009,Cryptopleura ruprechtiana,BF,2021-07-21,2021,Bullito,16.5,0.241,55255831.2,0.004583333333333333,0.13055555555555556,4.125,15348.842,15348.842,5.631318008339822
20210721-BULL-010,Cryptopleura ruprechtiana,BF,2021-07-21,2021,Bullito,29.3,0.198,365688946.35,0.0031005291005291005,0.12380952380952381,3.2555555555555555,38697.243,38697.243,6.211011370106447
20210721-BULL-011,Cryptopleura ruprechtiana,BF,2021-07-21,2021,Bullito,27.4,0.223,263846798.16,0.003610013175230566,0.10935441370223979,3.914285714285714,34762.424,34762.424,6.094383638681687
20210721-BULL-012,Cryptopleura ruprechtiana,BF,2021-07-21,2021,Bullito,32.2,0.211,308146064.40000004,0.003975308641975309,0.11604938271604938,4.025,38042.724,38042.724,6.023009287815901
20210721-BULL-013,Cryptopleura ruprechtiana,BF,2021-07-21,2021,Bullito,38.6,0.25,4355979851.1,0.001180428134556575,0.15535168195718654,1.102857142857143,133210.393,133210.393,6.30488516263697
20210721-BULL-014,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,2021-07-21,2021,Bullito,27.3,0.31,100406632.48,0.004431818181818182,0.17045454545454544,3.4125,16299.778,16299.778,20.606129332402887
