group,group_mobility,sp_code,scientific_name,common_name
fish,fish_mobile,RTOX,Rhacochilus toxotes,Rubberlip Surfperch
invert,invert_sessile,SABW,Sabellidae spp.,Sabellid Wom
algae,algae_sessile,SAFU,Sarcodiotheca furcata,-99999
algae,algae_sessile,SAHO,Sargassum horneri,-99999
algae,algae_sessile,SAMU,Sargassum muticum,Wire-weed
fish,fish_mobile,SATR,Sebastes atrovirens,Kelp Rockfish
fish,fish_mobile,SAUR,Sebastes auriculatus,Brown Rockfish
invert,invert_sessile,SC,Spheciospongia confoederata,Grey Moon Sponge
fish,fish_mobile,SCAL,Squatina californica,Pacific Angel Shark
fish,fish_mobile,SCAR,Sebastes carnatus,Gopher Rockfish
fish,fish_mobile,SCAU,Sebastes caurinus,Copper Rockfish
algae,algae_sessile,SCCA,Scinaia confusa,-99999
fish,fish_mobile,SCHR,Sebastes chrysomelas,Black and Yellow Rockfish
fish,fish_mobile,SCSP,Unidentified YOY Sebastes,Young of Year Rockfish
invert,invert_sessile,SE,Thylacodes squamigerus,Scaled Worm Snail
algae,algae_sessile,SELO,Scytosiphon lomentaria,-99999
invert,invert_mobile,SFL,Mesocentrotus franciscanus,Red Urchin
fish,fish_mobile,SGUT,Scorpaena guttata,California Scorpionfish
invert,invert_mobile,SKE,Kelletia kelletii,Kellet's Welk
fish,fish_mobile,SMAR,Scorpaenichthys marmoratus,Cabezon
fish,fish_mobile,SMIN,Sebastes miniatus,Vermilion Rockfish
fish,fish_mobile,SMYS,Sebastes mystinus,Blue Rockfish
fish,fish_mobile,SPAR,Sphyraena argentea,Pacific Barracuda
fish,fish_mobile,SPAU,Sebastes paucispinis,Boccacio
invert,invert_mobile,SPL,Strongylocentrotus purpuratus,Purple Urchin
fish,fish_mobile,SPUL,Semicossyphus pulcher,California Sheephead
fish,fish_mobile,SRAS,Sebastes rastrelliger,Grass Rockfish
fish,fish_mobile,SSER,Sebastes serranoides,Olive Rockfish
invert,invert_sessile,ST,Salmacina tribranchiata,Fragile Tube Worm
algae,algae_sessile,STIN,Stenogramma californicum,-99999
invert,invert_sessile,STMO,Styela montereyensis,Stalked Tunicate
fish,fish_mobile,STRE,Sebastes serriceps,Treefish
fish,fish_mobile,SYNG,Syngnathus spp.,Unidentified Pipefish Spp.
algae,algae_sessile,TALE,Taonia lennebackerae,-99999
invert,invert_sessile,TC,Thalamoporella californica,-99999
invert,invert_sessile,TEAU,Tethya aurantium,Orange Puffball Sponge
invert,invert_mobile,TESP,Tegula spp.,-99999
fish,fish_mobile,TSEM,Triakis semifasciata,Leopard Shark
invert,invert_sessile,UAB,Unidentified Arborescent Bryozoan,Unidentified Arborescent Bryozoan
algae,algae_sessile,UBB,Unidentifiable small brown blade,Unidentified brown blade - not a unique species
algae,algae_sessile,UEC,Amphiroa beauvoisii,-99999
invert,invert_sessile,UIH,Ectopleura crocea; Eudendrium californicum; Schuchertinia milleri,Unidentified hydroid
invert,invert_sessile,URLO,Urticina eques,Whit-Spotted Rose Anemone
invert,invert_sessile,UT,Unidentified Didemnidae spp.,Unidentified compound tunicate
algae,algae_sessile,UV,Ulva spp.,Sea Lettuce
invert,invert_sessile,WASP,Watersipora subatra,-99999
fish,fish_mobile,XCAL,Haemulon californiensis,Salema
