specimen_ID,scientific_name,sp_code,maximum_height,thickness_mm_mean,height_ww,total_dmc,height_vol
20210719-IVEE-021,Rhodymenia californica,R,11.9,0.18,0.005272485600354453,0.14621178555604786,5.95
20210719-IVEE-022,Rhodymenia californica,R,10.2,0.189,0.007234042553191489,0.16312056737588654,10.2
20210719-IVEE-023,Rhodymenia californica,R,7.5,0.144,0.003260869565217391,0.14347826086956522,3.75
20210719-IVEE-024,Rhodymenia californica,R,8.6,0.201,0.01036144578313253,0.21686746987951808,8.6
20210721-BULL-001,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,27.2,0.57,9.93425858290723e-4,0.16910153396639882,0.9714285714285714
20210721-BULL-002,Cryptopleura ruprechtiana,BF,33.5,0.234,0.001,0.14865671641791045,0.6568627450980392
20210721-BULL-003,Cryptopleura ruprechtiana,BF,23.2,0.223,0.0029367088607594937,0.16582278481012658,2.32
20210721-BULL-008,Cryptopleura ruprechtiana,BF,25.5,0.269,0.0014655172413793104,0.1367816091954023,1.4166666666666667
20210721-BULL-009,Cryptopleura ruprechtiana,BF,16.5,0.241,0.004583333333333333,0.13055555555555556,4.125
20210721-BULL-010,Cryptopleura ruprechtiana,BF,29.3,0.198,0.0031005291005291005,0.12380952380952381,3.2555555555555555
20210721-BULL-011,Cryptopleura ruprechtiana,BF,27.4,0.223,0.003610013175230566,0.10935441370223979,3.914285714285714
20210721-BULL-012,Cryptopleura ruprechtiana,BF,32.2,0.211,0.003975308641975309,0.11604938271604938,4.025
20210721-BULL-013,Cryptopleura ruprechtiana,BF,38.6,0.25,0.001180428134556575,0.15535168195718654,1.102857142857143
20210721-BULL-014,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,27.3,0.31,0.004431818181818182,0.17045454545454544,3.4125
20210721-BULL-015,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,59,0.454,0.0015093374264517779,0.1391660271169097,1.4047619047619047
20210721-BULL-019,Cryptopleura ruprechtiana,BF,26,0.223,0.0028230184581976114,0.12052117263843648,2.888888888888889
20210721-BULL-020,Cryptopleura ruprechtiana,BF,35.4,0.266,0.0016260909508497932,0.11391823610473129,1.6857142857142857
20210721-BULL-024,Cryptopleura ruprechtiana,BF,42.5,0.247,6.490531459987783e-4,0.12981062919975564,0.5902777777777778
20210721-BULL-025,Cryptopleura ruprechtiana,BF,32.2,0.226,0.0037182448036951503,0.12124711316397228,2.9272727272727277
20210721-BULL-026,Cryptopleura ruprechtiana,BF,38.3,0.249,0.002084921066956995,0.12901469787697334,1.8238095238095238
20210721-BULL-027,Cryptopleura ruprechtiana,BF,21.6,0.215,0.006409495548961424,0.12759643916913946,4.32
20210721-BULL-028,Cryptopleura ruprechtiana,BF,22,0.212,0.004508196721311476,0.12295081967213115,3.6666666666666665
20210721-BULL-029,Cryptopleura ruprechtiana,BF,34.4,0.215,0.004327044025157233,0.11949685534591195,3.44
20210722-AQUE-004,Pterygophora californica,PTCA,52.3,0.375,0.0025487329434697855,0.1364522417153996,2.1791666666666667
20210722-AQUE-005,Pterygophora californica,PTCA,53.9,0.36733333333333335,0.002498840982846546,0.1404728789986092,2.073076923076923
20220405-MOHK-001,Pterygophora californica,PTCA,155.7,0.4667142857142857,0.0010672936531329902,0.10136205041026028,1.3657894736842104
20220405-MOHK-002,Pterygophora californica,PTCA,108.4,0.338,0.0017361500392395536,0.10090170892259398,2.0452830188679245
20220405-MOHK-003,Pterygophora californica,PTCA,100.5,0.42977777777777776,8.103923750544293e-4,0.1163658941732385,1.005
20220407-AQUE-001,Pterygophora californica,PTCA,93.5,0.4454166666666666,8.503092033466715e-4,0.157066205893052,0.6538461538461539
20220407-AQUE-002,Pterygophora californica,PTCA,132.5,0.32386363636363635,0.0013285605422532387,0.15944731881442264,1.0114503816793894
20220407-AQUE-003,Pterygophora californica,PTCA,130.3,0.3505384615384615,6.85749772381599e-4,0.14226018493666157,0.5791111111111111
20220407-AQUE-004,Pterygophora californica,PTCA,145.4,0.364875,0.001046999776774463,0.09186090888797678,1.3588785046728973
20220407-AQUE-005,Pterygophora californica,PTCA,122.3,0.393,0.0010892702868797706,0.1363235569172671,0.9407692307692308
20220407-AQUE-006,Pterygophora californica,PTCA,149.4,0.38316326530612244,0.0011629807804581864,0.13631162280189627,0.8840236686390532
20220407-AQUE-007,Pterygophora californica,PTCA,88.7,0.39876106194690264,9.483385365436428e-4,0.13960997305734935,0.8367924528301887
20220407-AQUE-008,Pterygophora californica,PTCA,116.7,0.38487394957983195,7.497012758412458e-4,0.14032326450900026,0.6483333333333333
20220407-AQUE-009,Pterygophora californica,PTCA,84.7,0.37333333333333335,0.0012388836882752164,0.12970980575707933,1.045679012345679
20220407-AQUE-010,Pterygophora californica,PTCA,48.3,0.2726530612244898,0.00403744880046811,0.15038033937975423,3.01875
20220407-AQUE-011,Pterygophora californica,PTCA,46.7,0.31148936170212765,0.0026199158485273495,0.13868162692847125,2.122727272727273
20220407-AQUE-012,Pterygophora californica,PTCA,75.1,0.3525,0.0016208050070141361,0.15308082443077586,1.3410714285714285
20220421-AQUE-003,Stephanocystis osmundacea,CYOS,84,0.3605,0.001858777190148481,0.15786329136332455,1.4
20220421-AQUE-004,Stephanocystis osmundacea,CYOS,86,0.37076086956521737,5.41595818376472e-4,0.13138736696265507,0.44329896907216493
20220428-AQUE-001,Pterygophora californica,PTCA,121.3,0.4495454545454545,9.888963167077008e-4,0.08363633399096705,1.2505154639175258
20220503-AQUE-001,Stephanocystis osmundacea,CYOS,33.3,0.4205263157894737,6.260104523066511e-4,0.1314809940970786,0.5549999999999999
20220503-AQUE-002,Stephanocystis osmundacea,CYOS,49.3,0.3575,4.972113803919196e-4,0.11645638558591268,0.4833333333333333
20220503-AQUE-003,Stephanocystis osmundacea,CYOS,37.3,0.44228070175438594,0.0013806122071288447,0.1313987489358552,1.2433333333333332
20220503-AQUE-004,Stephanocystis osmundacea,CYOS,31.2,0.3705,5.640219100818916e-4,0.13315978813023122,0.48
