specimen_ID,subsample_ID,volume_start_mL,volume_end_mL,volume_total_mL,notes
20220815-MOHK-019,20220815-MOHK-019-B,NA,NA,0,
20220815-MOHK-019,20220815-MOHK-019-C,NA,NA,0,
20220815-MOHK-019,20220815-MOHK-019-D,NA,NA,0,
20220818-AQUE-001,20220818-AQUE-001-A,7.8,8.3,0.5000000000000009,
20220818-AQUE-001,20220818-AQUE-001-B,7.7,8.3,0.6000000000000005,
20220818-AQUE-001,20220818-AQUE-001-C,NA,NA,0.39999999999999947,measured in two pieces
20220818-AQUE-001,20220818-AQUE-001-D,79,81,2,
20220818-AQUE-002,20220818-AQUE-002-A,7.4,7.7,0.2999999999999998,
20220818-AQUE-002,20220818-AQUE-002-B,7.4,7.5,0.09999999999999964,
20220818-AQUE-002,20220818-AQUE-002-C,8,8.9,0.9000000000000004,
20220818-AQUE-002,20220818-AQUE-002-D,79,80,1,
20220824-CARP-001,20220824-CARP-001-A,88,91,3,
20220824-CARP-001,20220824-CARP-001-B,86,89,3,
20220824-CARP-002,20220824-CARP-002-A,9,9.4,0.40000000000000036,
20220824-CARP-002,20220824-CARP-002-B,9,9.8,0.8000000000000007,
20220824-CARP-002,20220824-CARP-002-C,8.8,9,0.1999999999999993,
20220824-CARP-002,20220824-CARP-002-D,85,93,8,
20220824-CARP-003,20220824-CARP-003-A,84,85,1,
20220824-CARP-003,20220824-CARP-003-B,83,86,3,
20220824-CARP-003,20220824-CARP-003-C,80,81,1,
20220824-CARP-003,20220824-CARP-003-D,180,194,14,
20220824-CARP-004,20220824-CARP-004-A,79,95,16,
20220824-CARP-004,20220824-CARP-004-B,80,86,6,
20220824-CARP-004,20220824-CARP-004-C,82,88,6,
20220824-CARP-004,20220824-CARP-004-D,360,425,65,
20220824-CARP-005,20220824-CARP-005-A,6.5,6.9,0.40000000000000036,
20220824-CARP-005,20220824-CARP-005-B,6.5,6.7,0.20000000000000018,
20220824-CARP-005,20220824-CARP-005-C,6.5,7.1,0.5999999999999996,
20220824-CARP-005,20220824-CARP-005-D,6.4,7.2,0.7999999999999998,
20220824-CARP-006,20220824-CARP-006-A,6.5,7.4,0.9000000000000004,
20220824-CARP-006,20220824-CARP-006-B,81,83,2,
20220824-CARP-006,20220824-CARP-006-C,80,82,2,
20220824-CARP-006,20220824-CARP-006-D,192,198,6,
20220824-CARP-007,20220824-CARP-007-A,78,87,9,
20220824-CARP-007,20220824-CARP-007-B,77,84,7,
20220824-CARP-007,20220824-CARP-007-C,77,83,6,
20220824-CARP-007,20220824-CARP-007-D,325,400,75,
20220824-CARP-008,20220824-CARP-008-A,8.8,9.1,0.29999999999999893,
20220824-CARP-008,20220824-CARP-008-B,86,88,2,
20220824-CARP-008,20220824-CARP-008-C,86,87,1,
20220824-CARP-008,20220824-CARP-008-D,85,92,7,
20220824-CARP-009,20220824-CARP-009-A,8.8,9.4,0.5999999999999996,
20220824-CARP-009,20220824-CARP-009-B,8.8,9.3,0.5,
20220824-CARP-009,20220824-CARP-009-C,8.8,9.3,0.5,
20220824-CARP-009,20220824-CARP-009-D,196,214,18,
20220824-CARP-010,20220824-CARP-010-A,73,88,15,
20220824-CARP-010,20220824-CARP-010-B,70,76,6,
20220824-CARP-010,20220824-CARP-010-C,65,67,2,
20220824-CARP-010,20220824-CARP-010-D,68,69,1,
20220824-CARP-011,20220824-CARP-011-A,82,86,4,
20220824-CARP-011,20220824-CARP-011-B,77,80,3,
20220824-CARP-011,20220824-CARP-011-C,71,73,2,
20220824-CARP-011,20220824-CARP-011-D,196,218,22,
20220824-CARP-012,20220824-CARP-012-A,70,76,6,
20220824-CARP-012,20220824-CARP-012-B,69,76,7,
20220824-CARP-012,20220824-CARP-012-C,69,75,6,
20220824-CARP-012,20220824-CARP-012-D,375,455,80,
20220824-CARP-013,20220824-CARP-013-A,69,73,4,
20220824-CARP-013,20220824-CARP-013-B,67,70,3,
20220824-CARP-013,20220824-CARP-013-C,64,66,2,
20220824-CARP-013,20220824-CARP-013-D,62,66,4,
20220824-CARP-014,20220824-CARP-014-A,59,61,2,
20220824-CARP-015,20220824-CARP-015-A,4.7,5.3,0.5999999999999996,
20220824-CARP-015,20220824-CARP-015-B,58,59,1,
20220824-CARP-015,20220824-CARP-015-C,58,60,2,
20220824-CARP-015,20220824-CARP-015-D,57,62,5,
20220824-CARP-016,20220824-CARP-016-A,4.8,5.4,0.6000000000000005,
20220824-CARP-016,20220824-CARP-016-B,54,57,3,
20220824-CARP-016,20220824-CARP-016-C,4.6,5.3,0.7000000000000002,
20220824-CARP-016,20220824-CARP-016-D,375,420,45,
20220824-CARP-017,20220824-CARP-017-A,88,90,2,
20220824-CARP-017,20220824-CARP-017-B,6,6.8,0.7999999999999998,
20220824-CARP-017,20220824-CARP-017-C,7.6,9,1.4000000000000004,
20220824-CARP-017,20220824-CARP-017-D,83,90,7,
20220824-CARP-018,20220824-CARP-018-A,87,89,2,
20220824-CARP-018,20220824-CARP-018-B,86,87,1,
20220824-CARP-018,20220824-CARP-018-C,85,90,5,
20220824-CARP-018,20220824-CARP-018-D,78,84,6,
20220824-CARP-019,20220824-CARP-019-A,6.8,8.3,1.5000000000000009,
20220824-CARP-019,20220824-CARP-019-B,79,81,2,
20220824-CARP-019,20220824-CARP-019-C,77,79,2,
20220824-CARP-019,20220824-CARP-019-D,72,78,6,
20220824-CARP-020,20220824-CARP-020-A,8.8,9,0.1999999999999993,
20220824-CARP-020,20220824-CARP-020-B,8.8,8.9,0.09999999999999964,
20220824-CARP-020,20220824-CARP-020-C,8.8,9.5,0.6999999999999993,
20220824-CARP-020,20220824-CARP-020-D,196,214,18,
20220824-CARP-021,20220824-CARP-021-A,78,81,3,
20220824-CARP-021,20220824-CARP-021-B,74,76,2,
20220824-CARP-021,20220824-CARP-021-C,73,74,1,
20220824-CARP-021,20220824-CARP-021-D,80,86,6,
20220824-MOHK-001,20220824-MOHK-001-A,NA,NA,1740,measured in three pieces
20220824-MOHK-001,20220824-MOHK-001-B,6,6.8,0.7999999999999998,
20220824-MOHK-001,20220824-MOHK-001-C,190,200,10,
20220824-MOHK-002,20220824-MOHK-002-A,770,890,120,
20220824-MOHK-002,20220824-MOHK-002-B,7.8,8.2,0.39999999999999947,
20220824-MOHK-002,20220824-MOHK-002-C,NA,NA,0,
20220824-MOHK-003,20220824-MOHK-003-A,700,860,160,
20220824-MOHK-003,20220824-MOHK-003-B,6.4,7,0.5999999999999996,
20220824-MOHK-003,20220824-MOHK-003-C,192,196,4,
20220824-MOHK-004,20220824-MOHK-004-A,680,830,150,
20220824-MOHK-004,20220824-MOHK-004-B,6.3,6.8,0.5,
20220824-MOHK-004,20220824-MOHK-004-C,190,196,6,
20220824-MOHK-005,20220824-MOHK-005-A,NA,NA,390,measured in two pieces
20220824-MOHK-005,20220824-MOHK-005-B,8.9,9.4,0.5,
20220824-MOHK-006,20220824-MOHK-006-A,76,83,7,
20220824-MOHK-006,20220824-MOHK-006-B,76,86,10,
20220824-MOHK-006,20220824-MOHK-006-C,75,87,12,
20220824-MOHK-006,20220824-MOHK-006-D,NA,NA,215,
20220824-MOHK-007,20220824-MOHK-007-A,75,81,6,
20220824-MOHK-007,20220824-MOHK-007-B,74,78,4,
20220824-MOHK-007,20220824-MOHK-007-C,75,77,2,
20220824-MOHK-007,20220824-MOHK-007-D,305,380,75,
20220824-MOHK-008,20220824-MOHK-008-A,74,88,14,
20220824-MOHK-008,20220824-MOHK-008-B,78,90,12,
20220824-MOHK-008,20220824-MOHK-008-C,77,82,5,
20220824-MOHK-008,20220824-MOHK-008-D,NA,NA,150,measured in two pieces
20220824-MOHK-009,20220824-MOHK-009-A,670,800,130,
20220824-MOHK-009,20220824-MOHK-009-B,8.1,8.7,0.5999999999999996,
20220824-MOHK-009,20220824-MOHK-009-C,188,194,6,
20220824-MOHK-010,20220824-MOHK-010-A,76,83,7,
20220824-MOHK-010,20220824-MOHK-010-B,76,81,5,
20220824-MOHK-010,20220824-MOHK-010-C,76,81,5,
20220824-MOHK-010,20220824-MOHK-010-D,NA,NA,125,measured in two pieces
