specimen_ID,subsample_ID,date_collected,site,sp_code,needs_check,number_subsamples,notes,type,lifestage,reorg_notes,year
20210630-MOHK-003,20210630-MOHK-003-C,2021-06-30,Mohawk,PTCA,NA,3,NA,holdfast,recruit,NA,2021
20210630-MOHK-004,20210630-MOHK-004-A,2021-06-30,Mohawk,PTCA,NA,3,NA,thallus,recruit,NA,2021
20210630-MOHK-004,20210630-MOHK-004-B,2021-06-30,Mohawk,PTCA,NA,3,NA,stipe,recruit,NA,2021
20210630-MOHK-004,20210630-MOHK-004-C,2021-06-30,Mohawk,PTCA,NA,3,NA,holdfast,recruit,NA,2021
20210630-MOHK-005,20210630-MOHK-005-A,2021-06-30,Mohawk,PTCA,NA,3,NA,thallus,recruit,NA,2021
20210630-MOHK-005,20210630-MOHK-005-B,2021-06-30,Mohawk,PTCA,NA,3,NA,stipe,recruit,NA,2021
20210630-MOHK-005,20210630-MOHK-005-C,2021-06-30,Mohawk,PTCA,NA,3,NA,holdfast,recruit,NA,2021
20210630-MOHK-006,20210630-MOHK-006-A,2021-06-30,Mohawk,PTCA,NA,3,NA,thallus,recruit,NA,2021
20210630-MOHK-006,20210630-MOHK-006-B,2021-06-30,Mohawk,PTCA,NA,3,NA,stipe,recruit,NA,2021
20210630-MOHK-006,20210630-MOHK-006-C,2021-06-30,Mohawk,PTCA,NA,3,NA,holdfast,recruit,NA,2021
20210630-MOHK-007,20210630-MOHK-007-A,2021-06-30,Mohawk,PTCA,NA,3,NA,thallus,recruit,NA,2021
20210630-MOHK-007,20210630-MOHK-007-B,2021-06-30,Mohawk,PTCA,NA,3,NA,stipe,recruit,NA,2021
20210630-MOHK-007,20210630-MOHK-007-C,2021-06-30,Mohawk,PTCA,NA,3,NA,holdfast,recruit,NA,2021
20210630-MOHK-008,20210630-MOHK-008-A,2021-06-30,Mohawk,PTCA,NA,3,NA,thallus,recruit,NA,2021
20210630-MOHK-008,20210630-MOHK-008-B,2021-06-30,Mohawk,PTCA,NA,3,NA,stipe,recruit,NA,2021
20210630-MOHK-008,20210630-MOHK-008-C,2021-06-30,Mohawk,PTCA,NA,3,NA,holdfast,recruit,NA,2021
20210630-MOHK-009,20210630-MOHK-009-A,2021-06-30,Mohawk,PTCA,NA,3,NA,thallus,recruit,NA,2021
20210630-MOHK-009,20210630-MOHK-009-B,2021-06-30,Mohawk,PTCA,NA,3,NA,stipe,recruit,NA,2021
20210630-MOHK-009,20210630-MOHK-009-C,2021-06-30,Mohawk,PTCA,NA,3,NA,holdfast,recruit,NA,2021
20210630-MOHK-010,20210630-MOHK-010-A,2021-06-30,Mohawk,PTCA,NA,3,NA,thallus,recruit,NA,2021
20210630-MOHK-010,20210630-MOHK-010-B,2021-06-30,Mohawk,PTCA,NA,3,NA,stipe,recruit,NA,2021
20210630-MOHK-010,20210630-MOHK-010-C,2021-06-30,Mohawk,PTCA,NA,3,NA,holdfast,recruit,NA,2021
20210630-MOHK-011,20210630-MOHK-011-A,2021-06-30,Mohawk,MAPY,NA,3,NA,thallus,recruit,NA,2021
20210630-MOHK-011,20210630-MOHK-011-B,2021-06-30,Mohawk,MAPY,NA,3,NA,stipe,recruit,NA,2021
20210630-MOHK-011,20210630-MOHK-011-C,2021-06-30,Mohawk,MAPY,NA,3,NA,holdfast,recruit,NA,2021
20210630-MOHK-012,20210630-MOHK-012-A,2021-06-30,Mohawk,LAFA,NA,3,NA,thallus,NA,NA,2021
20210630-MOHK-012,20210630-MOHK-012-B,2021-06-30,Mohawk,LAFA,NA,3,NA,stipe,NA,NA,2021
20210630-MOHK-012,20210630-MOHK-012-C,2021-06-30,Mohawk,LAFA,NA,3,NA,holdfast,NA,NA,2021
