specimen_ID,toughness_01,toughness_02,toughness_03,toughness_04,toughness_05,toughness_06,toughness_07,toughness_08,toughness_09,toughness_10
20210719-IVEE-015,6.7,6,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-017,8.5,9.8,5.6,9.3,9.3,6.1,5.9,6,8.1,7.3
20210719-IVEE-018,7.4,5.5,6.8,7.8,4.3,4,6.8,7,5,NA
20210719-IVEE-019,4.6,8.4,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210720-CARP-001,5,5.3,5.6,5.9,4.1,8.1,6.1,4.1,4.4,4.1
20210720-CARP-002A,5.4,6,7.2,7.2,6.1,5.1,6.5,6.6,5.5,5.1
20210720-CARP-002B,4.7,5.9,6.9,NA,NA,NA,NA,NA,NA,NA
20210720-CARP-002C,6.9,6.2,5.4,4.9,5.4,5.7,NA,NA,NA,NA
20210720-CARP-002D,4.8,8,6.8,NA,NA,NA,NA,NA,NA,NA
