specimen_ID,subsample_ID,scan_file_names,number_scans,notes_scans,results_file,results,area_init,area_add,area_sub,area_total,peri_init,peri_add,peri_sub,peri_total,notes_imagej
20210621-MOHK-001,20210621-MOHK-001-A,img20210621_0001,1,NA,Results_20210916,,1295.813,0,0,1295.813,602.731,3.558,0,606.289,"1: init, 2-6: 5 measurements of overlap"
20210621-MOHK-002,20210621-MOHK-002-A,img20210621_0002,1,NA,Results_20210916,,22678.504999999997,0,0,22678.504999999997,1046.9,0,179.7656,867.1344000000001,"7, 9: init, 10-14: cut edge on top section, 15-19: cut edge on bottom section"
20210621-MOHK-003,20210621-MOHK-003-A,img20210625_0057,1,NA,Results_20210916,,6981.456000000001,0,0,6981.456000000001,4693.725,0,0,4693.725,"98-111: init, run twice"
20210621-MOHK-004,20210621-MOHK-004-A,img20210625_0055,1,NA,Results_20210916,,14274.416000000001,0,0,14274.416000000001,3307.689,180.4928,0,3488.1818,"20: init top left, 21: init top right, 22: init bottom left, 23: init bottom right, 24-28: long peri overlap on top right, 29-33: short peri overlap on top right, 34-38: left overlap on bottom right, 39-43: middle overlap on bottom right, 44-48: right overlap on bottom right"
20210621-MOHK-004,20210621-MOHK-004-A,mg20210625_0056,2,NA,Results_20210916,,6997.049,0,0,6997.049,1883.359,6.6823999999999995,31.431,1858.6103999999998,"49: init top section, 50, init bottom section, 51-55: small overlap on top section, 56-60: cut edge on top, 61-65: cut edge on bottom"
20210621-MOHK-005,20210621-MOHK-005-A,img20210624_0054,1,NA,Results_20210916,,2776.008,0,0,2776.008,897.032,0,0,897.032,66: init
20210621-MOHK-005,20210621-MOHK-005-B,img20210624_0053,1,NA,Results_20210916,,4613.282,0,0,4613.282,1917.102,28.0836,0,1945.1856,"67: init, 68-72: overlap 1, 73-77: overlap 2, 78-82: overlap 3"
20210621-MOHK-005,20210621-MOHK-005-C,img20210624_0050,1,NA,Results_20210916,,10956.08,0,0,10956.08,3252.784,0,0,3252.784,84: init
20210621-MOHK-005,20210621-MOHK-005-C,img20210624_0051,2,NA,Results_20210916,,7712.561,0,0,7722.561,2598.161,0,12.1804,2585.9806,"85: init, 86-90: cut"
20210621-MOHK-005,20210621-MOHK-005-C,img20210624_0052,3,NA,Results_20210916,,12723.884,0,0,12723.884,3761.473,0,0,3761.473,83: init
20210621-MOHK-006,20210621-MOHK-006-A,img20210624_0049,1,NA,Results_20210916,,8101.889,0,0,8101.889,1926.756,11.9012,0,1938.6572,"91: init, 92-96: overlap"
20210621-MOHK-007,20210621-MOHK-007-A,img20210624_0048,1,NA,Results_20210916,,11431.26,0,0,11431.26,556.189,0,0,556.189,97: init
20210621-MOHK-008,20210621-MOHK-008-A,img20210624_0047,1,NA,Results_20210916,,14437.386,0,0,14437.386,1933.71,0,82.0866,1851.6234,"112-116: init, 117-121: cut on top portion, 122-126: top half of cut on bottom portion, 127-131: bottom half of cut on bottom portion, 132-136: cut on bottom right portion, 137-141: left cut on bottom right, 142-146: right cut on bottom right"
20210621-MOHK-009,20210621-MOHK-009-A,img20210624_0045,1,NA,Results_20210917,,20776.809,0,0,20776.809,1301.116,0,16.526200000000003,1284.5898,"1: init top left, 2: init top right, 3: init bottom, 4-8: cut top left, 9-13: cut bottom"
20210621-MOHK-009,20210621-MOHK-009-A,img20210624_0046,2,NA,Results_20210917,,12998.053,0,0,12998.053,1591.633,0,58.9686,1532.6644000000001,"14: init top, 15: init bottom, 16-20: cut 1, 21-25: cut 2, 26-30: cut 3 (small piece), 32-36: cut 4, 41-45: cut 5, 46-50: cut 6, 51-55: cut 7"
20210621-MOHK-010,20210621-MOHK-010-A,img20210624_0044,1,NA,Results_20210917,,14428.378,0,0,14428.378,1093.54,0,72.2562,1021.2837999999999,"56: init left, 57: init right, 58-62: cut 1 left, 63-67: cut 2 right"
20210621-MOHK-010,20210621-MOHK-010-B,img20210624_0043,1,NA,Results_20210917,,11493.903,0,0,11493.903,1585.993,0,17.699599999999997,1568.2934,"68: init, 69-73: cut 1, 74-78: cut 2"
20210621-MOHK-011,20210621-MOHK-011-A,img20210624_0039,1,NA,Results_20210917,,25244.327,0,0,25244.327,1703.817,0,239.626,1464.191,"79: init top left, 81: init top right, 82: init bottom, 83-87: cut 1, 88-92: cut 2, 93-97: cut 3, 98-102: cut 4"
20210621-MOHK-011,20210621-MOHK-011-B,img20210624_0039,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210621-MOHK-012,20210621-MOHK-012-A,img20210624_0035,4,NA,Results_20210917,,29578.578,0,0,29578.578,1563.2069999999999,0,179.2988,1383.9081999999999,"103: init left, 104: init right, 105-109: cut 1, 110-114: cut 2, 115-119: cut 3"
20210621-MOHK-012,20210621-MOHK-012-A,img20210624_0036,4,NA,Results_20210917,,20163.423,0,0,20163.423,684.723,0,140.3478,544.3752,"120: init, 122-126: cut 1, 127-131: cut 2"
20210621-MOHK-012,20210621-MOHK-012-A,img20210624_0037,4,NA,Results_20210917,,22905.501,0,0,22905.501,1010.729,0,248.343,762.3860000000001,"133: init left, 134: init right, 135-139: cut left, 140-144: cut top right, 145-149: cut bottom right"
20210621-MOHK-012,20210621-MOHK-012-B,img20210624_0038,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
