specimen_ID,date_collected,year,site,sp_code,lifestage
20210719-IVEE-003,2021-07-19,2021,Isla Vista,R,NA
20210719-IVEE-004,2021-07-19,2021,Isla Vista,CF,NA
20210719-IVEE-005,2021-07-19,2021,Isla Vista,CF,NA
20210719-IVEE-006,2021-07-19,2021,Isla Vista,CF,NA
20210719-IVEE-007,2021-07-19,2021,Isla Vista,CF,NA
20210719-IVEE-008,2021-07-19,2021,Isla Vista,CF,NA
20210719-IVEE-009,2021-07-19,2021,Isla Vista,BO,NA
20210719-IVEE-010,2021-07-19,2021,Isla Vista,BO,NA
20210719-IVEE-011,2021-07-19,2021,Isla Vista,PHSE,NA
20210719-IVEE-012,2021-07-19,2021,Isla Vista,BF,NA
20210719-IVEE-013,2021-07-19,2021,Isla Vista,BF,NA
20210719-IVEE-014,2021-07-19,2021,Isla Vista,BF,NA
20210719-IVEE-015,2021-07-19,2021,Isla Vista,BF,NA
20210719-IVEE-016,2021-07-19,2021,Isla Vista,BF,NA
20210719-IVEE-017,2021-07-19,2021,Isla Vista,BF,NA
20210719-IVEE-018,2021-07-19,2021,Isla Vista,BF,NA
20210719-IVEE-019,2021-07-19,2021,Isla Vista,BF,NA
20210719-IVEE-020,2021-07-19,2021,Isla Vista,R,NA
20210719-IVEE-021,2021-07-19,2021,Isla Vista,R,NA
20210719-IVEE-022,2021-07-19,2021,Isla Vista,R,NA
20210719-IVEE-023,2021-07-19,2021,Isla Vista,R,NA
20210719-IVEE-024,2021-07-19,2021,Isla Vista,R,NA
20210719-IVEE-025,2021-07-19,2021,Isla Vista,FTHR,NA
20210719-IVEE-026,2021-07-19,2021,Isla Vista,FTHR,NA
20210720-CARP-001,2021-07-20,2021,Carpinteria,PTCA,recruit
20210720-CARP-002,2021-07-20,2021,Carpinteria,PTCA,recruit
20210721-BULL-001,2021-07-21,2021,Bullito,CC,NA
20210721-BULL-002,2021-07-21,2021,Bullito,BF,NA
20210721-BULL-003,2021-07-21,2021,Bullito,BF,NA
20210721-BULL-004,2021-07-21,2021,Bullito,PTCA,recruit
20210721-BULL-005,2021-07-21,2021,Bullito,PTCA,recruit
20210721-BULL-006,2021-07-21,2021,Bullito,PTCA,recruit
20210721-BULL-007,2021-07-21,2021,Bullito,PTCA,recruit
20210721-BULL-008,2021-07-21,2021,Bullito,BF,NA
20210721-BULL-009,2021-07-21,2021,Bullito,BF,NA
20210721-BULL-010,2021-07-21,2021,Bullito,BF,NA
20210721-BULL-011,2021-07-21,2021,Bullito,BF,NA
20210721-BULL-012,2021-07-21,2021,Bullito,BF,NA
20210721-BULL-013,2021-07-21,2021,Bullito,BF,NA
20210721-BULL-014,2021-07-21,2021,Bullito,CC,NA
20210721-BULL-015,2021-07-21,2021,Bullito,CC,NA
